선수명,구단,경기,타율,득점,안타,홈런,타점,도루,장타율,출루율,수비율,실책,자살,보살,비고
박한이,삼성,111,0.304,61,118,1,51,4,0.381,0.393,1.0,0,206,1,"출루율 7위, 타격 9위"
김강민,SK,123,0.272,49,116,5,31,11,0.354,0.322,0.992,2,230,8,타격 27위
김현수,두산,122,0.291,47,127,7,65,6,0.382,0.358,0.981,4,195,9,타격 16위
손아섭,롯데,132,0.314,61,158,5,58,10,0.396,0.37,0.99,3,276,13,"최다안타 1위, 타격 3위"
이용규,KIA,125,0.283,86,139,2,37,44,0.332,0.377,0.985,4,267,4,"득점/도루 1위, 최다안타 7위, 타격 19위"
김원섭,KIA,120,0.303,60,117,3,61,8,0.402,0.409,1.0,0,174,7,"출루율 5위, 타격 10위"
김주찬,KIA,118,0.294,62,128,5,39,32,0.405,0.346,0.989,2,176,10,"도루 공동 3위, 타격 14위"
박용택,LG,127,0.305,82,152,11,76,30,0.451,0.362,1.0,0,216,3,"득점 4위, 도루 공동 5위, 최다안타 2위, 타격 8위, 타점 9위"
이병규,LG,118,0.3,52,126,5,41,5,0.4,0.333,0.986,2,137,3,타격 12위
