선수명,구단,경기,타율,타수,안타,2루타,3루타,홈런,타점,도루,수비율,실책,자살,보살,비고
박재홍,SK,112,0.318,396,126,26,2,19,72,5,0.976,5,196,9,"출루율2위, 장타율3위, 홈런 공동5위, 타격6위"
김현수,두산,126,0.357,470,168,34,5,9,89,13,0.996,1,256,6,"타격1위, 최다안타1위, 출루율1위, 장타율4위, 득점4위, 타점5위"
이종욱,두산,122,0.301,458,138,14,5,0,28,47,0.993,2,288,4,"득점1위, 도루2위, 최다안타 공동5위, 타격15위"
가르시아,롯데,125,0.283,460,130,25,2,30,111,2,0.983,4,214,17,"타점1위, 홈런2위, 장타율2위, 최다안타 공동10위, 타격21위"
김주찬,롯데,104,0.313,412,129,16,7,1,42,32,0.965,5,129,7,"도루5위, 득점9위, 타격10위"
박한이,삼성,104,0.316,370,117,17,2,4,41,5,0.991,2,222,3,"출루율5위, 타격8위"
김원섭,KIA,106,0.305,344,105,14,4,0,30,21,1.0,0,196,6,"출루율9위, 타격14위"
이용규,KIA,106,0.312,417,130,24,6,0,38,28,0.991,2,219,10,"도루 공동7위, 최다안타 공동10위, 타격11위"
이택근,히어로즈,110,0.317,372,118,19,1,12,58,18,0.979,5,231,5,"타격7위, 출루율8위"
전준호,히어로즈,114,0.31,352,109,16,5,1,24,16,0.971,4,130,6,타격12위
이대형,LG,126,0.264,523,138,5,2,0,33,63,0.994,2,343,6,"도루1위, 최다안타 공동5위"
