선수명,구단,경기,수비이닝,타율,득점,안타,홈런,타점,도루,장타율,출루율,수비율,실책,자살,보살
소크라테스,KIA,140,1133.0,0.31,92,171,26,97,13,0.516,0.359,0.982,5,265,6
최원준,KIA,136,1023.0,0.292,75,128,9,56,21,0.42,0.371,0.983,4,232,5
김지찬,삼성,135,859.0,0.316,102,143,3,36,42,0.384,0.405,0.989,3,259,0
구자욱,삼성,129,839.33,0.343,92,169,33,115,13,0.627,0.417,0.995,1,201,4
박해민,LG,144,1127.0,0.263,72,127,6,56,43,0.359,0.336,0.997,1,283,2
홍창기,LG,139,1098.0,0.336,96,176,5,73,10,0.41,0.447,0.965,10,271,7
정수빈,두산,136,1114.0,0.284,95,145,4,47,52,0.361,0.376,0.997,1,313,5
조수행,두산,130,885.33,0.265,60,87,0,30,64,0.293,0.334,0.996,1,247,4
로하스,KT,144,1142.0,0.329,108,188,32,112,2,0.568,0.421,0.993,2,279,6
배정대,KT,113,958.0,0.275,49,111,7,59,9,0.394,0.355,0.975,7,266,3
최지훈,SSG,125,989.67,0.275,89,133,11,49,32,0.418,0.345,0.972,7,237,5
에레디아,SSG,136,989.0,0.36,82,195,21,118,4,0.538,0.399,0.987,3,214,8
한유섬,SSG,132,813.67,0.235,64,109,24,87,0,0.453,0.314,0.959,7,165,0
윤동희,롯데,141,1151.67,0.293,97,156,14,85,7,0.453,0.376,0.987,4,310,4
레이예스,롯데,144,1012.67,0.352,88,202,15,111,5,0.51,0.394,0.981,4,207,2
황성빈,롯데,125,749.33,0.32,94,117,4,26,51,0.437,0.375,0.974,4,146,5
권희동,NC,123,915.0,0.3,66,125,13,77,4,0.452,0.417,0.992,2,238,11
김성욱,NC,129,875.33,0.204,55,73,17,60,10,0.38,0.291,0.996,1,226,6
이주형,키움,115,776.33,0.266,82,126,13,60,6,0.402,0.352,0.986,3,210,4
